dataset,contrast,endpoint,n_paired_seeds,effect,seed_sd,status
Wagner,DEPTH_SHUFFLED_CL-GENERIC_STAR,novelty_ap,4,-0.0011065822634204747,0.00014531093805941278,FOUR_SEEDS_COMPLETE
Zeisel_2018,DEPTH_SHUFFLED_CL-GENERIC_STAR,novelty_ap,4,-8.590301309568948e-05,0.0001111412734485339,FOUR_SEEDS_COMPLETE
Cao,DEPTH_SHUFFLED_CL-GENERIC_STAR,full_prednovel_ami,4,0.020081543109771838,0.012436717197912507,FOUR_SEEDS_COMPLETE
Quake_10x,DEPTH_SHUFFLED_CL-GENERIC_STAR,full_prednovel_ami,4,-0.003806732540430624,0.004792034774589965,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,DEPTH_SHUFFLED_CL-GENERIC_STAR,full_prednovel_ami,4,-0.0010591992004314599,0.0018123191871976725,FOUR_SEEDS_COMPLETE
Wagner,DEPTH_SHUFFLED_CL-GENERIC_STAR,full_prednovel_ami,4,-0.007664484540176819,0.0072465366112407495,FOUR_SEEDS_COMPLETE
Zeisel_2018,DEPTH_SHUFFLED_CL-GENERIC_STAR,full_prednovel_ami,4,-0.002331829147918768,0.023718999708020803,FOUR_SEEDS_COMPLETE
Cao,DEPTH_SHUFFLED_CL-GENERIC_STAR,known_retention,4,-0.06922179241183535,0.06419346961670924,FOUR_SEEDS_COMPLETE
Quake_10x,DEPTH_SHUFFLED_CL-GENERIC_STAR,known_retention,4,0.00018689020460116446,0.001993861648299389,FOUR_SEEDS_COMPLETE
Quake_Smart-seq2,DEPTH_SHUFFLED_CL-GENERIC_STAR,known_retention,4,4.059550501572806e-05,0.0020014967728080157,FOUR_SEEDS_COMPLETE
Wagner,DEPTH_SHUFFLED_CL-GENERIC_STAR,known_retention,4,0.004558876122826905,0.0036337797205872263,FOUR_SEEDS_COMPLETE
Zeisel_2018,DEPTH_SHUFFLED_CL-GENERIC_STAR,known_retention,4,-0.01779476215539247,0.06133054564361821,FOUR_SEEDS_COMPLETE
